<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;20060123;000000;239.0000000;239.0000000;218.4900000;218.8900000;5.078.252
GAZP;D;20060124;000000;220.5000000;224.6800000;219.6600000;224.0000000;8.971.078
GAZP;D;20060125;000000;225.2000000;231.0000000;225.0000000;228.3800000;15.467.697
GAZP;D;20060126;000000;228.9000000;229.4100000;223.5100000;224.4700000;7.585.458
GAZP;D;20060127;000000;226.2000000;231.5000000;224.0000000;228.7500000;12.719.299
GAZP;D;20060130;000000;231.0700000;231.0700000;215.0000000;216.0000000;17.240.278
GAZP;D;20060131;000000;218.0000000;224.2300000;215.7100000;219.0200000;11.733.963
GAZP;D;20060201;000000;219.5000000;223.9900000;215.0000000;223.9900000;8.547.010
GAZP;D;20060202;000000;223.9000000;224.5000000;220.0000000;221.5000000;5.405.728
GAZP;D;20060203;000000;218.7500000;221.3000000;217.0100000;221.0100000;5.368.219
GAZP;D;20060206;000000;221.7500000;222.4500000;219.1600000;220.4500000;6.374.804
GAZP;D;20060207;000000;219.9000000;220.7000000;218.2000000;220.5000000;8.265.783
GAZP;D;20060208;000000;219.0000000;221.5900000;215.5000000;221.0000000;9.401.348
GAZP;D;20060209;000000;221.4900000;224.8000000;220.5000000;222.0000000;9.773.529
GAZP;D;20060210;000000;222.5800000;223.6000000;221.5100000;222.0000000;5.917.093
GAZP;D;20060213;000000;221.9500000;222.0000000;218.5700000;219.9500000;7.876.801
GAZP;D;20060214;000000;219.7500000;220.8500000;218.6000000;219.8900000;3.789.868
GAZP;D;20060215;000000;219.8000000;220.0000000;218.8300000;219.7800000;3.547.696
GAZP;D;20060216;000000;219.8800000;220.4700000;218.9300000;220.0000000;4.512.426
GAZP;D;20060217;000000;220.5000000;227.3300000;220.5000000;226.5000000;19.215.266
GAZP;D;20060220;000000;227.3700000;229.9900000;227.3700000;228.2000000;8.381.342
GAZP;D;20060221;000000;230.0100000;230.1600000;224.5500000;225.0000000;10.778.170
GAZP;D;20060222;000000;225.4500000;226.5000000;224.1100000;225.3800000;6.005.302
GAZP;D;20060226;000000;226.0000000;229.6000000;225.3800000;227.3800000;8.899.668
GAZP;D;20060227;000000;227.8000000;228.2000000;225.0500000;225.2100000;9.313.061
GAZP;D;20060228;000000;225.3000000;225.3000000;217.0100000;218.7900000;11.432.145
GAZP;D;20060301;000000;219.0000000;220.5000000;214.6000000;217.9800000;11.090.835
GAZP;D;20060302;000000;218.7500000;220.8600000;217.5000000;218.9800000;7.794.470
