<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NAUK;D;20130318;000000;242.0000000;242.0000000;242.0000000;242.0000000;10
NAUK;D;20130402;000000;145.2000000;150.0000000;145.2000000;145.2000000;460
NAUK;D;20130403;000000;160.0000000;200.9900000;88.1000000;200.9900000;200.260
NAUK;D;20130404;000000;240.0000000;260.9900000;140.0000000;153.0100000;470
NAUK;D;20130405;000000;141.0100000;188.4900000;141.0100000;180.0000000;80
NAUK;D;20130409;000000;150.0000000;200.0000000;150.0000000;200.0000000;160
NAUK;D;20130410;000000;160.0000000;189.9800000;150.0000000;152.0100000;480
NAUK;D;20130411;000000;179.4000000;179.4000000;150.7000000;169.0000000;30
NAUK;D;20130416;000000;150.0300000;150.0300000;123.0000000;123.0000000;27.690
NAUK;D;20130417;000000;159.3400000;159.3400000;159.3400000;159.3400000;10
NAUK;D;20130508;000000;95.8700000;95.8700000;95.8600000;95.8600000;40
NAUK;D;20130531;000000;133.8800000;133.8800000;133.8800000;133.8800000;30
NAUK;D;20130604;000000;100.0000000;100.0000000;100.0000000;100.0000000;10
NAUK;D;20130605;000000;105.0000000;105.0000000;105.0000000;105.0000000;10
NAUK;D;20130611;000000;92.0000000;92.0000000;92.0000000;92.0000000;6.000
NAUK;D;20130614;000000;128.4900000;128.4900000;128.4900000;128.4900000;10
NAUK;D;20130617;000000;91.1500000;166.9500000;91.1500000;110.1500000;6.640
NAUK;D;20130618;000000;119.9800000;119.9800000;119.8900000;119.8900000;30
NAUK;D;20130619;000000;89.0000000;109.1100000;89.0000000;96.1800000;140
NAUK;D;20130620;000000;85.0300000;85.0300000;85.0300000;85.0300000;10
NAUK;D;20130621;000000;92.0000000;92.0000000;92.0000000;92.0000000;10
NAUK;D;20130625;000000;88.2800000;88.2800000;88.2800000;88.2800000;10
NAUK;D;20130626;000000;109.9600000;123.0000000;109.9600000;122.5000000;140
NAUK;D;20130627;000000;169.8300000;169.8300000;168.0000000;168.0000000;20
NAUK;D;20130628;000000;222.0000000;222.0000000;190.0000000;198.0000000;290
NAUK;D;20130701;000000;203.0000000;203.0000000;185.0000000;185.0000000;120
NAUK;D;20130702;000000;187.0100000;201.0000000;187.0100000;201.0000000;100
NAUK;D;20130703;000000;191.0100000;197.0000000;120.9900000;195.8900000;690
NAUK;D;20130704;000000;197.0000000;197.0000000;182.7500000;184.9800000;110
NAUK;D;20130705;000000;209.9900000;217.0000000;199.9900000;217.0000000;30
NAUK;D;20130708;000000;219.9600000;219.9900000;199.0000000;199.0000000;100
NAUK;D;20130709;000000;220.0000000;220.0000000;220.0000000;220.0000000;10
NAUK;D;20130710;000000;219.0000000;219.0000000;189.0000000;189.0000000;280
NAUK;D;20130711;000000;208.0000000;209.9900000;208.0000000;209.9900000;40
NAUK;D;20130712;000000;210.0000000;211.0000000;189.8000000;190.0000000;90
NAUK;D;20130715;000000;199.9800000;203.8900000;199.9800000;203.8900000;30
NAUK;D;20130716;000000;212.0000000;213.9700000;212.0000000;213.9700000;30
NAUK;D;20130717;000000;214.0000000;215.0000000;214.0000000;215.0000000;20
NAUK;D;20130718;000000;216.0000000;216.0000000;207.8000000;207.8000000;160
NAUK;D;20130719;000000;207.1100000;207.1100000;206.9400000;206.9400000;120
NAUK;D;20130722;000000;233.4900000;233.4900000;229.8900000;229.8900000;60
NAUK;D;20130723;000000;244.8900000;244.8900000;244.8900000;244.8900000;10
NAUK;D;20130724;000000;239.8600000;239.8600000;226.0000000;226.0000000;30
NAUK;D;20130725;000000;224.9900000;229.8800000;224.9900000;229.8800000;20
NAUK;D;20130726;000000;219.4900000;227.0400000;219.1900000;219.4000000;200
NAUK;D;20130729;000000;226.7800000;226.7800000;226.7800000;226.7800000;10
NAUK;D;20130730;000000;227.2900000;227.2900000;227.2900000;227.2900000;10
NAUK;D;20130801;000000;232.4300000;232.4300000;232.4300000;232.4300000;10
NAUK;D;20130805;000000;234.4900000;234.4900000;234.4900000;234.4900000;10
NAUK;D;20130808;000000;239.9800000;239.9800000;215.9900000;215.9900000;60
NAUK;D;20130813;000000;227.9600000;227.9600000;227.9600000;227.9600000;10
NAUK;D;20130814;000000;229.3900000;229.3900000;200.0000000;200.0000000;50
NAUK;D;20130815;000000;218.0000000;218.0000000;218.0000000;218.0000000;10
NAUK;D;20130821;000000;216.6000000;216.6000000;138.0400000;138.0400000;20
NAUK;D;20130827;000000;203.1100000;204.0000000;199.9900000;200.0000000;60
NAUK;D;20130828;000000;127.0000000;127.0000000;127.0000000;127.0000000;10
NAUK;D;20130829;000000;119.0000000;119.0000000;119.0000000;119.0000000;10
NAUK;D;20130902;000000;123.0100000;134.0200000;84.0000000;134.0200000;270
NAUK;D;20130903;000000;113.0100000;113.0100000;113.0100000;113.0100000;10
NAUK;D;20130904;000000;149.6300000;149.6400000;105.7900000;105.7900000;30
NAUK;D;20130906;000000;84.0100000;100.0100000;84.0100000;100.0100000;20
NAUK;D;20130910;000000;91.3900000;91.3900000;91.3900000;91.3900000;10
NAUK;D;20130918;000000;94.3500000;94.3500000;94.3500000;94.3500000;10
NAUK;D;20130923;000000;91.0300000;91.0300000;91.0300000;91.0300000;10
NAUK;D;20130924;000000;125.0000000;125.0000000;111.0100000;111.0100000;20
NAUK;D;20130927;000000;115.0000000;148.8800000;115.0000000;125.0000000;40
NAUK;D;20131003;000000;174.9000000;174.9000000;174.9000000;174.9000000;10
NAUK;D;20131004;000000;174.9400000;174.9400000;174.9400000;174.9400000;10
NAUK;D;20131009;000000;131.5100000;133.9700000;122.1300000;133.9700000;130
NAUK;D;20131011;000000;117.0300000;117.0300000;85.0000000;108.7800000;110
NAUK;D;20131014;000000;115.0000000;115.0000000;115.0000000;115.0000000;10
NAUK;D;20131016;000000;100.9200000;100.9200000;100.9200000;100.9200000;10
NAUK;D;20131022;000000;100.1200000;100.1200000;100.1200000;100.1200000;10
NAUK;D;20131028;000000;90.0700000;90.0700000;90.0700000;90.0700000;10
NAUK;D;20131029;000000;90.0700000;90.1000000;90.0700000;90.1000000;30
NAUK;D;20131031;000000;98.0000000;122.1200000;98.0000000;122.1200000;190
NAUK;D;20131106;000000;100.5300000;100.5300000;100.3600000;100.3600000;30
NAUK;D;20131111;000000;95.0000000;95.0000000;94.0200000;94.0200000;30
NAUK;D;20131118;000000;109.6700000;109.6700000;109.6700000;109.6700000;10
NAUK;D;20131211;000000;89.0100000;106.4900000;89.0100000;106.4900000;20
NAUK;D;20131219;000000;96.0100000;96.0100000;89.0000000;89.0000000;100
NAUK;D;20131220;000000;88.1000000;88.1000000;88.1000000;88.1000000;10
NAUK;D;20131224;000000;88.1500000;88.1500000;88.1500000;88.1500000;20
NAUK;D;20131230;000000;85.0500000;85.0500000;85.0500000;85.0500000;20
NAUK;D;20140106;000000;85.1700000;85.1700000;85.1700000;85.1700000;10
NAUK;D;20140116;000000;94.6900000;94.6900000;94.6900000;94.6900000;10
NAUK;D;20140122;000000;94.6900000;94.6900000;94.6900000;94.6900000;10
NAUK;D;20140124;000000;96.1800000;104.9800000;96.1800000;104.9800000;40
NAUK;D;20140129;000000;95.0000000;96.5000000;90.0000000;94.5000000;50
NAUK;D;20140130;000000;94.9500000;94.9500000;94.9500000;94.9500000;5.370
NAUK;D;20140203;000000;93.0000000;93.0000000;93.0000000;93.0000000;40
NAUK;D;20140207;000000;90.0000000;90.0000000;87.0000000;87.0000000;110
NAUK;D;20140210;000000;95.9800000;95.9800000;90.0000000;93.9500000;80
NAUK;D;20140211;000000;93.9500000;93.9500000;93.9500000;93.9500000;10
NAUK;D;20140212;000000;95.6000000;110.0000000;95.6000000;107.1000000;7.440
NAUK;D;20140213;000000;91.0000000;91.0000000;90.0000000;90.0000000;380
NAUK;D;20140214;000000;89.0000000;97.9900000;89.0000000;97.9900000;360
NAUK;D;20140217;000000;97.9900000;109.9900000;97.9900000;102.9900000;30
NAUK;D;20140218;000000;98.0100000;98.9900000;97.9900000;98.9900000;50
NAUK;D;20140219;000000;95.0100000;110.0000000;95.0000000;110.0000000;50
NAUK;D;20140225;000000;104.0000000;105.4000000;100.0000000;100.0000000;120
NAUK;D;20140227;000000;110.0000000;112.0000000;107.0000000;109.9000000;160
NAUK;D;20140228;000000;109.9000000;119.0000000;101.1800000;118.9000000;370
NAUK;D;20140303;000000;118.0000000;119.0000000;105.0000000;105.0000000;120
NAUK;D;20140304;000000;113.9800000;126.0000000;106.5000000;126.0000000;400
NAUK;D;20140305;000000;112.0200000;125.0000000;112.0200000;125.0000000;40
NAUK;D;20140306;000000;130.0000000;158.0000000;117.0000000;158.0000000;60
NAUK;D;20140307;000000;112.0900000;150.0000000;112.0900000;150.0000000;310
NAUK;D;20140311;000000;112.1900000;150.0000000;112.1900000;150.0000000;50
NAUK;D;20140313;000000;117.0000000;145.0000000;117.0000000;145.0000000;20
NAUK;D;20140319;000000;109.3000000;109.3000000;109.3000000;109.3000000;10
NAUK;D;20140401;000000;110.0200000;114.0000000;110.0000000;110.0000000;70
NAUK;D;20140402;000000;110.0000000;110.0000000;110.0000000;110.0000000;50
NAUK;D;20140407;000000;105.0000000;105.0000000;91.0000000;95.0100000;70
NAUK;D;20140408;000000;91.0000000;91.0000000;91.0000000;91.0000000;10
NAUK;D;20140410;000000;85.0600000;85.0600000;85.0500000;85.0500000;70
NAUK;D;20140411;000000;85.1000000;99.7000000;85.1000000;99.3000000;60
NAUK;D;20140416;000000;93.0000000;99.1000000;93.0000000;99.1000000;140
NAUK;D;20140417;000000;112.0000000;124.7000000;108.4000000;124.7000000;110
NAUK;D;20140418;000000;129.0000000;163.3500000;129.0000000;163.3500000;20
NAUK;D;20140421;000000;130.0100000;172.0000000;130.0000000;158.0000000;130
NAUK;D;20140422;000000;154.7700000;154.7700000;154.7700000;154.7700000;10
NAUK;D;20140424;000000;163.4000000;163.4000000;163.4000000;163.4000000;10
NAUK;D;20140428;000000;160.0000000;172.0000000;160.0000000;172.0000000;20
NAUK;D;20140429;000000;117.0100000;164.9900000;117.0100000;164.9900000;80
NAUK;D;20140430;000000;118.0100000;153.9900000;118.0000000;153.9900000;50
NAUK;D;20140519;000000;176.0000000;176.0000000;176.0000000;176.0000000;30
NAUK;D;20140528;000000;170.0000000;170.0000000;150.0000000;150.0000000;160
NAUK;D;20140604;000000;135.0100000;179.0000000;135.0000000;179.0000000;60
NAUK;D;20140619;000000;208.9900000;208.9900000;208.9900000;208.9900000;10
