<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AGRO;D;20141201;000000;320.0000000;320.0000000;320.0000000;320.0000000;400
AGRO;D;20141202;000000;305.0000000;305.0000000;305.0000000;305.0000000;10.000
AGRO;D;20141204;000000;330.0000000;330.0000000;330.0000000;330.0000000;10.000
AGRO;D;20141210;000000;350.0000000;350.0000000;350.0000000;350.0000000;30
AGRO;D;20141211;000000;212.2000000;212.2000000;212.2000000;212.2000000;1
AGRO;D;20141219;000000;330.0000000;447.0000000;330.0000000;350.0000000;6.324
AGRO;D;20141222;000000;300.0000000;380.0000000;290.0000000;290.0000000;7.764
AGRO;D;20141223;000000;290.0000000;290.0000000;290.0000000;290.0000000;1.046
AGRO;D;20141225;000000;285.0000000;285.0000000;280.0000000;280.0000000;1.351
AGRO;D;20141226;000000;280.0000000;285.0000000;270.5500000;271.0000000;21.007
AGRO;D;20141229;000000;280.0000000;280.0000000;280.0000000;280.0000000;1
AGRO;D;20141230;000000;290.0000000;310.0000000;280.0000000;280.0000000;4.602
AGRO;D;20150105;000000;321.0000000;350.0000000;280.0000000;280.0000000;12
AGRO;D;20150106;000000;320.0000000;340.0000000;295.0000000;310.0000000;381
AGRO;D;20150108;000000;300.0000000;360.0000000;285.0000000;335.0000000;579
AGRO;D;20150109;000000;300.0000000;345.0000000;300.0000000;306.0000000;30
AGRO;D;20150112;000000;290.1000000;303.0000000;290.1000000;303.0000000;9
AGRO;D;20150113;000000;290.1500000;324.9000000;290.1500000;319.9500000;26
AGRO;D;20150114;000000;324.9500000;334.9500000;295.0000000;315.0000000;67
AGRO;D;20150115;000000;300.0500000;320.0000000;300.0500000;305.0000000;304
AGRO;D;20150116;000000;305.1000000;314.9500000;305.1000000;308.0000000;571
AGRO;D;20150120;000000;315.0000000;315.0000000;300.0500000;310.0000000;1.032
AGRO;D;20150121;000000;295.0000000;320.0000000;295.0000000;320.0000000;5.101
AGRO;D;20150122;000000;320.0000000;330.0000000;317.5000000;320.0000000;4.484
AGRO;D;20150123;000000;324.9500000;324.9500000;324.9500000;324.9500000;1
AGRO;D;20150126;000000;320.0000000;320.0000000;312.0000000;320.0000000;14.980
AGRO;D;20150127;000000;340.0000000;344.9500000;312.0000000;330.0000000;48
AGRO;D;20150128;000000;340.0000000;340.0000000;340.0000000;340.0000000;1
AGRO;D;20150130;000000;335.0000000;335.0000000;335.0000000;335.0000000;2
AGRO;D;20150205;000000;369.0000000;369.0000000;369.0000000;369.0000000;1
AGRO;D;20150206;000000;369.0000000;377.0000000;330.0000000;377.0000000;32.219
AGRO;D;20150209;000000;379.9500000;379.9500000;360.2500000;379.9000000;17
AGRO;D;20150210;000000;370.0000000;380.0000000;370.0000000;380.0000000;129
AGRO;D;20150211;000000;380.0000000;389.9500000;380.0000000;380.0000000;83
AGRO;D;20150212;000000;389.9000000;394.9500000;389.9000000;389.9500000;43
AGRO;D;20150213;000000;389.9500000;395.0000000;389.9500000;395.0000000;121
AGRO;D;20150216;000000;404.4500000;410.0000000;376.0000000;405.0000000;622
AGRO;D;20150217;000000;405.0000000;405.0000000;405.0000000;405.0000000;1
AGRO;D;20150218;000000;390.0000000;390.0000000;376.0000000;385.0000000;2.867
AGRO;D;20150219;000000;380.0500000;385.0000000;380.0000000;380.0000000;574
AGRO;D;20150220;000000;384.9500000;384.9500000;384.9500000;384.9500000;10
AGRO;D;20150225;000000;380.1500000;380.1500000;370.0000000;370.0000000;81
AGRO;D;20150226;000000;379.9500000;380.0000000;379.9500000;380.0000000;97
AGRO;D;20150302;000000;375.0000000;375.0000000;375.0000000;375.0000000;103
AGRO;D;20150303;000000;381.0000000;385.0500000;379.9500000;380.0000000;5.608
AGRO;D;20150304;000000;380.0000000;380.0000000;380.0000000;380.0000000;19
AGRO;D;20150305;000000;370.0500000;370.0500000;370.0000000;370.0000000;10
AGRO;D;20150306;000000;379.9000000;379.9500000;379.9000000;379.9500000;93
AGRO;D;20150310;000000;389.9000000;389.9000000;365.1000000;379.5000000;1.051
AGRO;D;20150311;000000;360.2000000;374.9000000;355.1000000;374.9000000;37
AGRO;D;20150312;000000;360.0000000;369.9500000;355.0500000;369.9500000;28
AGRO;D;20150313;000000;355.1000000;369.9500000;355.1000000;369.9500000;2
AGRO;D;20150316;000000;356.0500000;374.9500000;355.0500000;369.9500000;40
AGRO;D;20150317;000000;370.0000000;370.0000000;370.0000000;370.0000000;50
AGRO;D;20150318;000000;370.0000000;370.0000000;370.0000000;370.0000000;31
AGRO;D;20150320;000000;370.0000000;370.0000000;370.0000000;370.0000000;1
AGRO;D;20150325;000000;354.9500000;354.9500000;354.9500000;354.9500000;100
AGRO;D;20150326;000000;349.9500000;349.9500000;331.0500000;349.9500000;130
AGRO;D;20150330;000000;350.0500000;354.9500000;349.9500000;354.9500000;1.100
AGRO;D;20150331;000000;350.0000000;350.0000000;349.9500000;349.9500000;122
AGRO;D;20150401;000000;359.9500000;359.9500000;350.0000000;350.0000000;577
