<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
DIOD;D;20100624;000000;33.3000000;38.9800000;28.5200000;31.9900000;1.415.987
DIOD;D;20100625;000000;32.0000000;32.0000000;28.6100000;29.2800000;303.814
DIOD;D;20100628;000000;29.4800000;29.6800000;28.0000000;29.6000000;252.973
DIOD;D;20100629;000000;29.2600000;30.2100000;28.2700000;30.0300000;177.773
DIOD;D;20100630;000000;29.2600000;30.8300000;28.6600000;30.8300000;94.109
DIOD;D;20100701;000000;29.9100000;30.8200000;29.0000000;30.4000000;128.202
DIOD;D;20100702;000000;30.0000000;30.6000000;29.1000000;30.0100000;98.598
DIOD;D;20100705;000000;29.7900000;30.2000000;29.4100000;30.2000000;29.032
DIOD;D;20100706;000000;30.0300000;30.2000000;29.5100000;30.0300000;61.087
DIOD;D;20100707;000000;29.6500000;29.9900000;29.3100000;29.8600000;14.457
DIOD;D;20100708;000000;29.4300000;29.7000000;29.0100000;29.4000000;22.007
DIOD;D;20100709;000000;29.3100000;29.4900000;29.0000000;29.4900000;31.403
DIOD;D;20100712;000000;29.5200000;29.5200000;28.6600000;28.6600000;19.843
DIOD;D;20100713;000000;28.6500000;30.9800000;28.0200000;30.7000000;133.140
DIOD;D;20100714;000000;29.5000000;30.7800000;29.5000000;30.1100000;125.266
DIOD;D;20100715;000000;30.3700000;31.8600000;29.5500000;31.3800000;132.887
DIOD;D;20100716;000000;31.5000000;31.8700000;30.9200000;31.7000000;27.099
DIOD;D;20100719;000000;31.6200000;32.8900000;31.0000000;31.0600000;14.507
DIOD;D;20100720;000000;31.2600000;32.9000000;31.0100000;32.9000000;48.169
DIOD;D;20100721;000000;32.9900000;35.3000000;32.9900000;34.7500000;80.674
DIOD;D;20100722;000000;34.8000000;34.9900000;33.2500000;33.9800000;33.171
DIOD;D;20100723;000000;34.2500000;34.2500000;32.6700000;33.9400000;20.095
DIOD;D;20100726;000000;34.6400000;34.6400000;33.0400000;33.7000000;48.377
DIOD;D;20100727;000000;33.7000000;33.7700000;33.0000000;33.3900000;8.164
DIOD;D;20100728;000000;33.7000000;33.7000000;31.7300000;32.6800000;38.801
DIOD;D;20100729;000000;32.7900000;32.8000000;31.8400000;31.9800000;23.463
DIOD;D;20100730;000000;32.0000000;32.2000000;31.2300000;32.0800000;15.053
DIOD;D;20100802;000000;31.6400000;32.0000000;31.0100000;31.3700000;29.721
DIOD;D;20100803;000000;31.3800000;31.9000000;30.8100000;31.5100000;7.215
DIOD;D;20100804;000000;31.5000000;31.9000000;31.4000000;31.6300000;3.950
DIOD;D;20100805;000000;31.5000000;31.6800000;31.0200000;31.3800000;26.348
DIOD;D;20100806;000000;31.3200000;31.4900000;31.0100000;31.4900000;3.088
DIOD;D;20100809;000000;31.5000000;31.5900000;31.0000000;31.5300000;15.687
DIOD;D;20100810;000000;31.2300000;31.8600000;31.2200000;31.6300000;14.334
DIOD;D;20100811;000000;31.5000000;31.5700000;30.5500000;30.8000000;11.322
DIOD;D;20100812;000000;30.9000000;31.4300000;30.5100000;31.1600000;3.609
DIOD;D;20100813;000000;31.2100000;31.9900000;31.1400000;31.7900000;27.208
DIOD;D;20100816;000000;31.5000000;31.5100000;30.7100000;31.1400000;1.313
DIOD;D;20100817;000000;31.2600000;31.4900000;31.0000000;31.2600000;7.037
DIOD;D;20100818;000000;31.1400000;31.5300000;31.0000000;31.2600000;4.653
DIOD;D;20100819;000000;31.1400000;31.3200000;30.4500000;30.8900000;5.226
DIOD;D;20100820;000000;30.7800000;31.1300000;30.4500000;30.8800000;4.527
DIOD;D;20100823;000000;30.9000000;32.8900000;30.6300000;31.9900000;72.664
DIOD;D;20100824;000000;31.9000000;31.9000000;30.6900000;31.0200000;7.831
DIOD;D;20100825;000000;31.1300000;31.4200000;30.4500000;30.7800000;9.781
DIOD;D;20100826;000000;30.8900000;31.9900000;30.8300000;31.9400000;12.252
DIOD;D;20100827;000000;31.7500000;32.5000000;31.5300000;32.2300000;21.110
DIOD;D;20100830;000000;32.1300000;32.8000000;31.5000000;32.0000000;2.932
DIOD;D;20100831;000000;32.3000000;32.3000000;31.2100000;31.5100000;11.169
DIOD;D;20100901;000000;31.5200000;31.9700000;31.3100000;31.8700000;5.037
DIOD;D;20100902;000000;31.6900000;33.7000000;31.6900000;33.0000000;54.447
DIOD;D;20100903;000000;33.0100000;33.8600000;32.4100000;32.8800000;55.130
DIOD;D;20100906;000000;32.9900000;33.2900000;32.5700000;33.1900000;15.019
DIOD;D;20100907;000000;33.1400000;33.6000000;32.9900000;33.1400000;7.861
DIOD;D;20100908;000000;33.1500000;33.6800000;33.0400000;33.2700000;16.929
DIOD;D;20100909;000000;33.9900000;33.9900000;33.0000000;33.3900000;10.893
DIOD;D;20100910;000000;33.3900000;33.5600000;33.1400000;33.3400000;16.162
DIOD;D;20100913;000000;33.4800000;33.4800000;32.8300000;33.2800000;8.619
DIOD;D;20100914;000000;33.0100000;33.2500000;32.9500000;33.2000000;7.140
DIOD;D;20100915;000000;33.0100000;33.5900000;33.0100000;33.3300000;1.571
DIOD;D;20100916;000000;32.9100000;33.4900000;32.1100000;32.4300000;12.024
DIOD;D;20100917;000000;32.4900000;32.9900000;32.3000000;32.4400000;7.547
DIOD;D;20100920;000000;33.3000000;33.3000000;31.9100000;32.5300000;20.236
DIOD;D;20100921;000000;32.5200000;33.8500000;32.3000000;33.8500000;144.356
DIOD;D;20100922;000000;33.9000000;34.5000000;33.0800000;33.9600000;25.200
DIOD;D;20100923;000000;33.8000000;35.0000000;33.0000000;34.0000000;72.150
DIOD;D;20100924;000000;33.7900000;34.9800000;33.2400000;34.4100000;124.083
DIOD;D;20100927;000000;34.6000000;35.0000000;33.4400000;34.1300000;27.065
DIOD;D;20100928;000000;34.5400000;34.5900000;32.4400000;33.1300000;63.001
DIOD;D;20100929;000000;33.1400000;33.2200000;32.5000000;32.9900000;34.934
DIOD;D;20100930;000000;33.0100000;33.0100000;32.2300000;32.5000000;75.417
DIOD;D;20101001;000000;32.6300000;32.8600000;32.4600000;32.5000000;25.283
DIOD;D;20101004;000000;32.4900000;33.5200000;32.3900000;32.8000000;34.158
DIOD;D;20101005;000000;33.0000000;33.1400000;32.5200000;32.8700000;6.269
DIOD;D;20101006;000000;32.7600000;33.1000000;32.3500000;32.9600000;16.811
DIOD;D;20101007;000000;32.7700000;32.8900000;32.6000000;32.7700000;1.718
DIOD;D;20101008;000000;32.6300000;32.8400000;32.5800000;32.8100000;11.326
DIOD;D;20101011;000000;32.8800000;32.8800000;32.4000000;32.8500000;6.975
DIOD;D;20101012;000000;32.6300000;33.1400000;32.4500000;32.8000000;18.573
DIOD;D;20101013;000000;33.0100000;33.2400000;32.3800000;32.8200000;22.494
DIOD;D;20101014;000000;33.0000000;33.2900000;32.5000000;32.8400000;11.350
DIOD;D;20101015;000000;32.6300000;33.0000000;32.5000000;32.5300000;6.195
DIOD;D;20101018;000000;32.8200000;32.9900000;32.4400000;32.9500000;35.818
DIOD;D;20101019;000000;32.8900000;32.9800000;32.5300000;32.8500000;53.847
DIOD;D;20101020;000000;32.8000000;32.9600000;32.5400000;32.9400000;15.346
DIOD;D;20101021;000000;32.7700000;33.0700000;32.1400000;32.9400000;33.663
DIOD;D;20101022;000000;32.9400000;33.0000000;32.5200000;32.9200000;22.276
DIOD;D;20101025;000000;32.7200000;33.0000000;32.5200000;32.9500000;18.437
DIOD;D;20101026;000000;32.7900000;33.0000000;32.7800000;32.9900000;5.931
DIOD;D;20101027;000000;32.7800000;33.5300000;32.5900000;33.0000000;67.564
DIOD;D;20101028;000000;33.0000000;33.5000000;32.6000000;33.4500000;40.603
DIOD;D;20101029;000000;33.2700000;33.4900000;32.7100000;32.8100000;16.145
DIOD;D;20101101;000000;33.0100000;34.4000000;32.8800000;33.0000000;32.662
DIOD;D;20101102;000000;32.7800000;33.4900000;32.7600000;33.0000000;6.192
DIOD;D;20101103;000000;32.8900000;33.6200000;32.8000000;33.2300000;1.328
DIOD;D;20101108;000000;33.0100000;33.5000000;33.0000000;33.5000000;20.582
DIOD;D;20101109;000000;33.2700000;34.0000000;33.2500000;33.4900000;19.350
DIOD;D;20101110;000000;33.5300000;33.5300000;33.1100000;33.4000000;557
DIOD;D;20101111;000000;33.4000000;33.7400000;33.0100000;33.0100000;6.863
DIOD;D;20101112;000000;33.0100000;33.4100000;33.0000000;33.2600000;5.647
DIOD;D;20101113;000000;33.3000000;33.4200000;33.0300000;33.2500000;1.903
DIOD;D;20101115;000000;33.2600000;33.4500000;33.0000000;33.2200000;4.548
DIOD;D;20101116;000000;33.2600000;33.2600000;33.0000000;33.0000000;7.583
DIOD;D;20101117;000000;33.1400000;33.2200000;32.5700000;33.0100000;3.466
DIOD;D;20101118;000000;33.1400000;33.3300000;33.0000000;33.0000000;3.040
DIOD;D;20101119;000000;33.1400000;33.1400000;32.7000000;32.9600000;7.403
DIOD;D;20101122;000000;32.8300000;33.1900000;32.8200000;33.0000000;3.901
DIOD;D;20101123;000000;32.9900000;33.0000000;32.7300000;32.9400000;1.731
DIOD;D;20101124;000000;32.9100000;33.1000000;32.7000000;33.0000000;6.737
DIOD;D;20101125;000000;33.0100000;33.2700000;32.7100000;33.2700000;3.959
DIOD;D;20101126;000000;33.0100000;33.1000000;32.6200000;33.0800000;3.738
DIOD;D;20101129;000000;32.8900000;33.3300000;32.3000000;32.7100000;19.645
DIOD;D;20101130;000000;32.8800000;33.1700000;32.5600000;32.9700000;20.636
DIOD;D;20101201;000000;32.9900000;33.1200000;32.5400000;33.0800000;5.158
DIOD;D;20101202;000000;33.1200000;33.1200000;32.4900000;32.7900000;8.248
DIOD;D;20101203;000000;32.5900000;32.9400000;32.5000000;32.7200000;6.296
DIOD;D;20101206;000000;32.0000000;32.8400000;32.0000000;32.7000000;2.763
DIOD;D;20101207;000000;32.7500000;32.7900000;32.5000000;32.5200000;6.711
DIOD;D;20101208;000000;32.6300000;32.9200000;32.1300000;32.9000000;11.752
DIOD;D;20101209;000000;32.6300000;33.0000000;32.4400000;32.8400000;11.180
DIOD;D;20101210;000000;32.8500000;33.2500000;32.6500000;33.0000000;12.118
DIOD;D;20101213;000000;33.1400000;33.1400000;32.3500000;32.6500000;10.368
DIOD;D;20101214;000000;32.8800000;33.4600000;32.6100000;32.8500000;23.252
DIOD;D;20101215;000000;32.8900000;32.9500000;32.4000000;32.7700000;6.217
DIOD;D;20101216;000000;32.7100000;32.8700000;32.3100000;32.8500000;11.061
