<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
DZRD;D;20110111;000000;4.060.0000000;4.060.0000000;3.300.0000000;3.350.0000000;54
DZRD;D;20110112;000000;3.430.0000000;4.566.0000000;3.350.0200000;4.500.0000000;123
DZRD;D;20110113;000000;4.150.0000000;4.640.0000000;3.500.0500000;3.789.9900000;296
DZRD;D;20110114;000000;4.199.9900000;4.999.9900000;3.380.0100000;3.598.9800000;112
DZRD;D;20110117;000000;3.900.0000000;3.900.0000000;3.006.1600000;3.250.0000000;136
DZRD;D;20110118;000000;3.480.0000000;3.480.0000000;3.200.0000000;3.200.0000000;19
DZRD;D;20110119;000000;3.200.0000000;3.359.9600000;2.800.0200000;2.870.0000000;123
DZRD;D;20110120;000000;2.801.1400000;2.801.1400000;2.260.0600000;2.780.0000000;78
DZRD;D;20110121;000000;2.600.0000000;2.625.0000000;2.444.5000000;2.560.0000000;114
DZRD;D;20110124;000000;2.500.0000000;2.730.0000000;2.500.0000000;2.580.0000000;91
DZRD;D;20110125;000000;2.430.0200000;2.499.0000000;2.350.0000000;2.499.0000000;52
DZRD;D;20110126;000000;2.021.0200000;2.560.0000000;2.021.0000000;2.398.9900000;13
DZRD;D;20110127;000000;2.299.9900000;2.300.0000000;2.240.0000000;2.270.0000000;32
DZRD;D;20110128;000000;2.826.7400000;2.826.7400000;2.250.0000000;2.309.9900000;24
DZRD;D;20110131;000000;2.143.0300000;2.429.0000000;2.096.0500000;2.200.0000000;151
DZRD;D;20110202;000000;2.000.0300000;2.246.0000000;2.000.0300000;2.246.0000000;7
DZRD;D;20110203;000000;2.000.0100000;2.000.0100000;1.825.0000000;1.981.1100000;97
DZRD;D;20110204;000000;2.140.0000000;2.140.0000000;1.730.0400000;1.795.0200000;72
DZRD;D;20110207;000000;1.650.0000000;1.650.0000000;1.311.0000000;1.349.9900000;808
DZRD;D;20110208;000000;1.359.9900000;1.549.9900000;1.190.0000000;1.205.5000000;658
DZRD;D;20110209;000000;1.161.0200000;1.242.0100000;980.0000000;1.174.0000000;1.356
DZRD;D;20110210;000000;1.170.1800000;1.508.0400000;1.020.0700000;1.274.9000000;1.864
DZRD;D;20110211;000000;1.397.7700000;1.494.0000000;1.210.0000000;1.487.0000000;214
DZRD;D;20110214;000000;1.360.0300000;1.500.0000000;1.290.0800000;1.500.0000000;51
DZRD;D;20110215;000000;1.548.0000000;1.600.0000000;1.547.9900000;1.590.0000000;27
DZRD;D;20110216;000000;1.599.9900000;1.599.9900000;1.330.0000000;1.366.0000000;538
DZRD;D;20110217;000000;1.398.9800000;1.519.9400000;1.345.0000000;1.387.9900000;400
DZRD;D;20110218;000000;1.394.4400000;1.450.0000000;1.308.7800000;1.424.9400000;113
DZRD;D;20110221;000000;1.350.0400000;1.425.0000000;1.299.9900000;1.325.0000000;337
DZRD;D;20110222;000000;1.302.5700000;1.324.9900000;1.200.0000000;1.200.0000000;184
DZRD;D;20110224;000000;1.152.0100000;1.205.0100000;1.152.0100000;1.199.9900000;58
DZRD;D;20110225;000000;1.152.0400000;1.233.9500000;1.152.0000000;1.161.0700000;51
DZRD;D;20110228;000000;1.152.0100000;1.354.9900000;1.152.0000000;1.354.9900000;241
DZRD;D;20110301;000000;1.333.3000000;1.378.0000000;1.222.1000000;1.378.0000000;99
DZRD;D;20110302;000000;1.240.5000000;1.374.0000000;1.240.5000000;1.311.0000000;73
DZRD;D;20110303;000000;1.253.9000000;1.369.7000000;1.253.9000000;1.336.0000000;48
DZRD;D;20110304;000000;1.287.5000000;1.381.8000000;1.287.5000000;1.303.3000000;48
DZRD;D;20110305;000000;1.303.3000000;1.340.0000000;1.280.0000000;1.302.2000000;67
DZRD;D;20110309;000000;1.266.0000000;1.358.7000000;1.265.0000000;1.302.1000000;136
DZRD;D;20110310;000000;1.201.0000000;1.368.0000000;1.201.0000000;1.298.1000000;8
DZRD;D;20110311;000000;1.201.1000000;1.366.0000000;1.200.0000000;1.366.0000000;78
DZRD;D;20110314;000000;1.368.0000000;1.368.0000000;1.250.3000000;1.250.6000000;45
DZRD;D;20110315;000000;1.300.0000000;1.319.9000000;1.155.1000000;1.255.6000000;147
DZRD;D;20110316;000000;1.161.1000000;1.269.8000000;1.161.1000000;1.186.5000000;40
DZRD;D;20110317;000000;1.188.6000000;1.249.6000000;1.188.6000000;1.248.0000000;8
DZRD;D;20110321;000000;1.264.0000000;1.498.0000000;1.161.5000000;1.458.0000000;894
DZRD;D;20110322;000000;1.372.0000000;1.777.5000000;900.0000000;1.250.1000000;577
