<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ENPL;D;20171108;000000;840.0000000;840.0000000;780.7000000;794.0000000;20.585
ENPL;D;20171109;000000;794.0000000;819.8000000;772.1000000;780.0000000;13.113
ENPL;D;20171110;000000;765.4000000;784.9000000;765.4000000;770.3000000;7.495
ENPL;D;20171113;000000;785.0000000;785.0000000;766.2000000;770.0000000;2.180
ENPL;D;20171114;000000;770.1000000;780.0000000;767.1000000;780.0000000;4.369
ENPL;D;20171115;000000;767.7000000;783.9000000;767.7000000;772.6000000;894
ENPL;D;20171116;000000;783.8000000;783.8000000;760.0000000;763.5000000;686
ENPL;D;20171117;000000;763.5000000;780.2000000;763.5000000;777.5000000;309
ENPL;D;20171120;000000;778.0000000;779.0000000;771.0000000;772.7000000;662
ENPL;D;20171121;000000;770.5000000;770.5000000;762.5000000;763.9000000;2.115
ENPL;D;20171122;000000;761.2000000;768.0000000;761.2000000;768.0000000;3.941
ENPL;D;20171123;000000;768.0000000;771.0000000;760.6000000;769.6000000;875
ENPL;D;20171124;000000;767.6000000;771.6000000;763.0000000;768.3000000;753
ENPL;D;20171127;000000;777.4000000;777.5000000;741.1000000;748.8000000;3.436
ENPL;D;20171128;000000;751.4000000;759.3000000;734.1000000;748.2000000;3.227
ENPL;D;20171129;000000;739.0000000;749.0000000;731.8000000;747.9000000;1.120
ENPL;D;20171130;000000;741.8000000;752.0000000;741.8000000;747.0000000;17.533
ENPL;D;20171201;000000;741.6000000;777.0000000;741.6000000;745.7000000;123.099
ENPL;D;20171204;000000;754.0000000;772.6000000;745.1000000;765.1000000;134.445
ENPL;D;20171205;000000;778.1000000;779.8000000;750.1000000;760.0000000;32.381
ENPL;D;20171206;000000;750.1000000;778.6000000;750.0000000;770.4000000;125.023
ENPL;D;20171207;000000;779.9000000;780.0000000;770.0000000;770.0000000;129.381
ENPL;D;20171208;000000;770.1000000;776.0000000;770.0000000;774.0000000;40.372
ENPL;D;20171211;000000;770.1000000;779.4000000;768.5000000;779.4000000;120.487
ENPL;D;20171212;000000;782.1000000;792.1000000;775.0000000;782.0000000;123.645
ENPL;D;20171213;000000;787.5000000;790.0000000;779.9000000;790.0000000;14.630
ENPL;D;20171214;000000;792.1000000;814.2000000;792.1000000;814.2000000;117.081
ENPL;D;20171215;000000;800.1000000;814.2000000;790.0000000;813.9000000;126.440
ENPL;D;20171218;000000;814.0000000;824.9000000;810.0000000;823.8000000;39.766
ENPL;D;20171219;000000;825.0000000;825.0000000;821.7000000;823.0000000;118.182
ENPL;D;20171220;000000;810.1000000;824.0000000;810.1000000;820.4000000;116.184
ENPL;D;20171221;000000;826.0000000;826.0000000;808.6000000;812.8000000;117.377
ENPL;D;20171222;000000;815.1000000;823.0000000;801.1000000;809.8000000;12.374
ENPL;D;20171225;000000;809.9000000;815.0000000;795.0000000;814.9000000;125.159
ENPL;D;20171226;000000;815.0000000;815.0000000;770.0000000;795.0000000;120.102
ENPL;D;20171227;000000;800.0000000;809.9000000;796.6000000;800.1000000;23.834
ENPL;D;20171228;000000;800.1000000;808.7000000;796.1000000;800.0000000;13.481
ENPL;D;20171229;000000;795.6000000;805.4000000;795.6000000;805.4000000;3.523
ENPL;D;20180103;000000;805.0000000;805.0000000;798.1000000;801.0000000;1.117
ENPL;D;20180104;000000;806.4000000;806.4000000;787.0000000;796.5000000;1.546
ENPL;D;20180105;000000;796.5000000;798.0000000;790.0000000;790.0000000;1.793
ENPL;D;20180109;000000;787.1000000;792.1000000;780.0000000;780.0000000;118.608
ENPL;D;20180110;000000;783.9000000;787.0000000;773.0000000;783.5000000;126.109
ENPL;D;20180111;000000;786.5000000;799.5000000;773.1000000;774.5000000;114.536
ENPL;D;20180112;000000;765.7000000;779.7000000;763.0000000;768.7000000;139.175
ENPL;D;20180115;000000;775.0000000;775.0000000;765.5000000;765.5000000;15.237
ENPL;D;20180116;000000;765.5000000;773.1000000;764.5000000;773.0000000;128.335
ENPL;D;20180117;000000;772.9000000;774.0000000;765.6000000;769.5000000;23.336
ENPL;D;20180118;000000;770.0000000;772.9000000;763.0000000;764.1000000;124.876
ENPL;D;20180119;000000;766.1000000;777.0000000;761.1000000;768.0000000;122.179
ENPL;D;20180122;000000;770.1000000;795.5000000;770.0000000;788.5000000;126.879
ENPL;D;20180123;000000;787.1000000;793.2000000;781.4000000;786.8000000;26.885
ENPL;D;20180124;000000;793.0000000;793.0000000;775.1000000;785.8000000;53.642
ENPL;D;20180125;000000;788.4000000;793.0000000;770.1000000;781.7000000;118.770
ENPL;D;20180126;000000;785.0000000;785.0000000;766.8000000;774.0000000;124.323
ENPL;D;20180129;000000;772.1000000;781.2000000;770.0000000;777.8000000;135.823
ENPL;D;20180130;000000;775.1000000;778.0000000;766.5000000;767.0000000;124.230
ENPL;D;20180131;000000;767.1000000;771.7000000;757.0000000;757.1000000;25.287
ENPL;D;20180201;000000;768.5000000;771.5000000;755.0000000;764.5000000;114.766
