<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
FIVE;D;20180201;000000;2.199.0000000;2.225.5000000;2.082.5000000;2.110.0000000;179.814
FIVE;D;20180202;000000;2.129.0000000;2.130.0000000;2.015.0000000;2.052.0000000;129.059
FIVE;D;20180205;000000;2.060.0000000;2.090.0000000;2.013.0000000;2.089.5000000;67.255
FIVE;D;20180206;000000;2.055.0000000;2.088.5000000;2.005.0000000;2.070.0000000;60.383
FIVE;D;20180207;000000;2.075.0000000;2.117.0000000;2.054.5000000;2.090.0000000;22.646
FIVE;D;20180208;000000;2.090.0000000;2.195.0000000;2.060.0000000;2.134.0000000;32.091
FIVE;D;20180209;000000;2.120.0000000;2.120.0000000;2.035.0000000;2.046.0000000;28.684
FIVE;D;20180212;000000;2.065.0000000;2.125.0000000;2.052.5000000;2.100.5000000;11.486
FIVE;D;20180213;000000;2.105.5000000;2.145.0000000;2.091.0000000;2.140.0000000;27.524
FIVE;D;20180214;000000;2.149.5000000;2.172.0000000;2.142.5000000;2.150.5000000;28.266
FIVE;D;20180215;000000;2.150.5000000;2.155.0000000;2.112.0000000;2.144.0000000;22.475
FIVE;D;20180216;000000;2.157.5000000;2.260.0000000;2.080.0000000;2.130.0000000;55.935
FIVE;D;20180219;000000;2.139.5000000;2.195.0000000;2.060.0000000;2.079.5000000;41.099
FIVE;D;20180220;000000;2.075.0000000;2.075.5000000;1.941.5000000;1.979.5000000;83.633
FIVE;D;20180221;000000;1.992.0000000;2.019.5000000;1.905.5000000;1.958.0000000;44.031
FIVE;D;20180222;000000;1.958.0000000;2.030.0000000;1.930.0000000;1.996.5000000;52.053
FIVE;D;20180226;000000;2.020.0000000;2.035.0000000;2.003.0000000;2.017.0000000;13.739
FIVE;D;20180227;000000;2.034.0000000;2.034.0000000;2.003.5000000;2.017.0000000;3.936
FIVE;D;20180228;000000;2.006.5000000;2.029.0000000;2.002.5000000;2.015.0000000;13.954
FIVE;D;20180301;000000;2.014.0000000;2.040.0000000;1.994.5000000;2.040.0000000;56.623
FIVE;D;20180302;000000;2.041.0000000;2.044.5000000;1.969.5000000;2.000.5000000;93.970
FIVE;D;20180305;000000;2.006.5000000;2.050.0000000;1.980.0000000;2.016.0000000;41.937
FIVE;D;20180306;000000;2.032.5000000;2.032.5000000;1.930.0000000;1.943.5000000;140.870
FIVE;D;20180307;000000;1.957.5000000;1.960.0000000;1.920.0000000;1.946.5000000;155.042
FIVE;D;20180309;000000;1.935.0000000;1.968.0000000;1.935.0000000;1.955.5000000;102.546
FIVE;D;20180312;000000;1.965.5000000;1.980.0000000;1.937.0000000;1.960.5000000;84.376
FIVE;D;20180313;000000;1.975.0000000;1.975.0000000;1.905.0000000;1.910.0000000;122.430
FIVE;D;20180314;000000;1.922.0000000;1.922.5000000;1.867.0000000;1.885.5000000;112.525
FIVE;D;20180315;000000;1.863.0000000;1.965.0000000;1.850.0000000;1.965.0000000;165.847
FIVE;D;20180316;000000;1.948.5000000;1.966.5000000;1.926.0000000;1.965.0000000;126.067
FIVE;D;20180319;000000;1.965.0000000;1.981.5000000;1.894.5000000;1.915.0000000;102.828
FIVE;D;20180320;000000;1.910.0000000;1.917.0000000;1.878.5000000;1.891.0000000;118.732
FIVE;D;20180321;000000;1.888.0000000;1.936.0000000;1.875.0000000;1.920.0000000;165.880
FIVE;D;20180322;000000;1.930.0000000;1.946.0000000;1.861.0000000;1.875.0000000;128.708
FIVE;D;20180323;000000;1.860.0000000;1.900.0000000;1.800.0000000;1.858.0000000;153.512
FIVE;D;20180326;000000;1.858.5000000;1.862.5000000;1.809.5000000;1.811.0000000;113.558
FIVE;D;20180327;000000;1.821.0000000;1.849.0000000;1.800.0000000;1.846.5000000;86.284
FIVE;D;20180328;000000;1.847.0000000;1.847.0000000;1.801.5000000;1.838.5000000;88.536
FIVE;D;20180329;000000;1.849.5000000;2.019.0000000;1.830.5000000;1.932.0000000;337.681
FIVE;D;20180330;000000;1.964.5000000;1.978.0000000;1.927.0000000;1.932.0000000;50.394
FIVE;D;20180402;000000;1.947.0000000;1.965.0000000;1.913.5000000;1.949.5000000;30.725
FIVE;D;20180403;000000;1.950.0000000;1.961.5000000;1.919.0000000;1.948.0000000;130.619
FIVE;D;20180404;000000;1.957.5000000;1.959.0000000;1.927.5000000;1.959.0000000;81.699
FIVE;D;20180405;000000;1.960.0000000;2.050.0000000;1.946.0000000;2.050.0000000;152.747
FIVE;D;20180406;000000;2.017.5000000;2.069.5000000;2.000.0000000;2.025.0000000;98.541
FIVE;D;20180409;000000;2.020.0000000;2.022.0000000;1.730.0000000;1.892.5000000;341.118
FIVE;D;20180410;000000;1.884.5000000;1.973.5000000;1.865.5000000;1.925.0000000;233.735
