<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GTLC;D;20130227;000000;1.9000000;2.0000000;1.9000000;1.9500000;284.000
GTLC;D;20130228;000000;2.1995000;2.2000000;1.8800000;1.9200000;274.000
GTLC;D;20130301;000000;1.8995000;1.9790000;1.7000000;1.9790000;277.000
GTLC;D;20130304;000000;1.9000000;1.9000000;1.7990000;1.8300000;282.000
GTLC;D;20130305;000000;1.8050000;1.8100000;1.7990000;1.8100000;25.000
GTLC;D;20130306;000000;1.8099000;1.8200000;1.8099000;1.8200000;55.000
GTLC;D;20130307;000000;1.8100000;1.8100000;1.7000000;1.7000000;120.000
GTLC;D;20130311;000000;1.7799000;1.7800000;1.7000000;1.7200000;155.000
GTLC;D;20130312;000000;1.7060000;1.7500000;1.7000000;1.7000000;230.000
GTLC;D;20130313;000000;1.7000000;1.7000000;1.6880000;1.6900000;265.000
GTLC;D;20130314;000000;1.6900000;1.6900000;1.6860000;1.6880000;114.000
GTLC;D;20130315;000000;1.6900000;1.6910000;1.6870000;1.6875000;113.000
GTLC;D;20130318;000000;1.6800000;1.6999000;1.6000000;1.6110000;126.000
GTLC;D;20130319;000000;1.6001000;1.6100000;1.4000000;1.6000000;952.000
GTLC;D;20130320;000000;1.6299000;1.6299000;1.5999000;1.6050000;116.000
GTLC;D;20130321;000000;1.6000000;1.6000000;1.5800000;1.6000000;301.000
GTLC;D;20130322;000000;1.6800000;1.7300000;1.6800000;1.7300000;655.000
GTLC;D;20130325;000000;1.7500000;1.7500000;1.6900000;1.6900000;186.000
GTLC;D;20130326;000000;1.6740000;1.6740000;1.6450000;1.6450000;90.000
GTLC;D;20130327;000000;1.6000000;1.6000000;1.5790000;1.5900000;252.000
GTLC;D;20130328;000000;1.6900000;1.6900000;1.5800000;1.5810000;230.000
GTLC;D;20130329;000000;1.5801000;1.5901000;1.5800000;1.5901000;208.000
GTLC;D;20130401;000000;1.5750000;1.5800000;1.5750000;1.5800000;100.000
GTLC;D;20130402;000000;1.5801000;1.5850000;1.5750000;1.5750000;171.000
GTLC;D;20130403;000000;1.5750000;1.5750000;1.5631000;1.5631000;43.000
GTLC;D;20130404;000000;1.5201000;1.5589000;1.5200000;1.5584000;143.000
GTLC;D;20130405;000000;1.5449000;1.5449000;1.4200000;1.4450000;149.000
GTLC;D;20130408;000000;1.4200000;1.4200000;1.3500000;1.3500000;166.000
GTLC;D;20130409;000000;1.3600000;1.6500000;1.3200000;1.5000000;596.000
GTLC;D;20130410;000000;1.5499000;1.5814000;1.4800000;1.5814000;290.000
GTLC;D;20130411;000000;1.5499000;1.5499000;1.5499000;1.5499000;1.000
GTLC;D;20130412;000000;1.5899000;1.5899000;1.5899000;1.5899000;1.000
GTLC;D;20130415;000000;1.5205000;1.5898000;1.5204000;1.5205000;18.000
GTLC;D;20130416;000000;1.5897000;1.5897000;1.5897000;1.5897000;1.000
GTLC;D;20130417;000000;1.5699000;1.5699000;1.5699000;1.5699000;1.000
GTLC;D;20130418;000000;1.5201000;1.5299000;1.5200000;1.5299000;40.000
GTLC;D;20130422;000000;1.5899000;1.5899000;1.5501000;1.5700000;38.000
GTLC;D;20130423;000000;1.6099000;1.6099000;1.5500000;1.5500000;44.000
GTLC;D;20130424;000000;1.5750000;1.5750000;1.5500000;1.5700000;39.000
GTLC;D;20130425;000000;1.5999000;1.7100000;1.5999000;1.7100000;124.000
GTLC;D;20130426;000000;1.7000000;1.7000000;1.7000000;1.7000000;1.000
GTLC;D;20130429;000000;1.7010000;1.7020000;1.7010000;1.7020000;505.000
