<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ISKJ;D;20091211;000000;9.8650000;13.5000000;9.6500000;12.4000000;11.573.115
ISKJ;D;20091214;000000;12.8990000;17.0800000;12.6000000;17.0800000;16.143.226
ISKJ;D;20091215;000000;18.8700000;20.4960000;17.5600000;20.4960000;7.322.932
ISKJ;D;20091216;000000;24.5950000;24.5950000;17.6600000;19.9990000;24.402.558
ISKJ;D;20091217;000000;19.5000000;21.5000000;16.8140000;20.0000000;10.294.515
ISKJ;D;20091218;000000;20.8450000;22.4990000;19.4500000;21.6490000;10.620.140
ISKJ;D;20091221;000000;22.0000000;22.9800000;21.5000000;22.4200000;5.907.881
ISKJ;D;20091222;000000;22.4200000;22.5000000;21.3320000;21.4010000;2.752.440
ISKJ;D;20091223;000000;21.6670000;21.6670000;19.1100000;19.9870000;3.252.029
ISKJ;D;20091224;000000;19.9090000;20.2990000;18.6200000;18.6200000;2.302.860
ISKJ;D;20091225;000000;18.5100000;19.2200000;18.0000000;18.5000000;2.428.580
ISKJ;D;20091228;000000;18.5000000;18.9300000;18.1010000;18.1700000;942.058
ISKJ;D;20091229;000000;18.2500000;18.2600000;17.1400000;17.7790000;1.220.813
ISKJ;D;20091230;000000;17.9140000;18.5000000;17.2000000;18.4650000;817.572
ISKJ;D;20091231;000000;18.1080000;18.6260000;18.0720000;18.3820000;107.041
ISKJ;D;20100111;000000;18.5020000;19.0000000;17.8000000;17.9000000;873.813
ISKJ;D;20100112;000000;18.0000000;18.0000000;17.1100000;17.6480000;579.283
ISKJ;D;20100113;000000;17.6480000;17.6480000;17.0010000;17.2720000;707.137
ISKJ;D;20100114;000000;17.2750000;17.3420000;16.0900000;16.2400000;1.350.490
ISKJ;D;20100115;000000;16.2400000;16.4300000;15.4100000;15.6110000;1.264.712
ISKJ;D;20100118;000000;15.6110000;15.6110000;14.4650000;14.5000000;2.799.196
ISKJ;D;20100119;000000;14.5000000;14.5900000;13.2000000;13.5000000;2.013.068
ISKJ;D;20100120;000000;13.4010000;16.1240000;13.2800000;16.1240000;7.948.267
ISKJ;D;20100121;000000;16.9310000;18.2900000;15.3000000;15.4000000;8.655.205
ISKJ;D;20100122;000000;14.9880000;15.4000000;14.3900000;15.0000000;2.756.303
ISKJ;D;20100125;000000;14.7700000;17.2000000;14.3000000;16.4730000;5.004.810
ISKJ;D;20100126;000000;16.1000000;16.4000000;15.2640000;15.7500000;1.317.506
ISKJ;D;20100127;000000;15.7600000;16.1900000;15.5500000;15.6520000;816.226
ISKJ;D;20100128;000000;15.8070000;16.1110000;15.6840000;15.7990000;797.891
ISKJ;D;20100129;000000;15.7980000;16.8500000;15.3700000;16.0000000;1.827.560
ISKJ;D;20100201;000000;15.9980000;16.6090000;15.5000000;15.9750000;612.882
ISKJ;D;20100202;000000;15.9200000;16.2990000;15.7490000;15.8500000;531.778
ISKJ;D;20100203;000000;15.8500000;16.1300000;15.6970000;15.7400000;795.116
ISKJ;D;20100204;000000;15.7770000;15.9500000;14.4900000;14.8080000;1.115.242
ISKJ;D;20100205;000000;14.4900000;15.2900000;14.3640000;14.9900000;786.617
ISKJ;D;20100208;000000;15.0000000;15.4000000;14.7100000;15.1500000;595.588
ISKJ;D;20100209;000000;15.1100000;15.1700000;14.5100000;15.0000000;311.406
ISKJ;D;20100210;000000;14.9900000;15.0310000;14.4800000;14.6590000;318.998
ISKJ;D;20100211;000000;14.6300000;14.7500000;14.3010000;14.4900000;349.853
ISKJ;D;20100212;000000;14.4910000;14.5670000;13.8680000;14.3900000;448.645
ISKJ;D;20100215;000000;14.4000000;14.4000000;13.8800000;14.2420000;227.265
ISKJ;D;20100216;000000;14.1550000;14.5990000;14.0200000;14.4840000;276.823
ISKJ;D;20100217;000000;14.5000000;14.6000000;14.3100000;14.4100000;152.410
ISKJ;D;20100218;000000;14.3190000;14.3190000;13.5070000;13.8570000;415.020
ISKJ;D;20100219;000000;13.8990000;13.9990000;13.5190000;13.9010000;259.669
ISKJ;D;20100224;000000;13.7910000;13.9500000;13.5500000;13.6000000;126.321
ISKJ;D;20100225;000000;13.6280000;13.6800000;13.0190000;13.3500000;523.662
ISKJ;D;20100226;000000;13.3000000;15.9500000;13.2500000;15.9500000;3.172.712
ISKJ;D;20100227;000000;16.2210000;16.2270000;14.7620000;14.9800000;2.460.855
ISKJ;D;20100301;000000;15.1500000;15.1500000;14.3100000;14.4900000;1.058.099
ISKJ;D;20100302;000000;14.5220000;14.5600000;14.1700000;14.1990000;319.188
ISKJ;D;20100303;000000;14.2410000;14.9970000;13.9200000;14.4800000;908.345
ISKJ;D;20100304;000000;14.5110000;14.5590000;14.0030000;14.1400000;368.557
ISKJ;D;20100305;000000;14.2260000;14.3500000;14.1250000;14.2260000;387.966
ISKJ;D;20100309;000000;14.2000000;14.2930000;14.0790000;14.1990000;174.166
ISKJ;D;20100310;000000;14.1990000;14.8800000;14.1380000;14.2300000;818.004
ISKJ;D;20100311;000000;14.2700000;14.5990000;14.0700000;14.2000000;411.668
