<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LVHK;D;20121206;000000;14.0000000;14.0100000;14.0000000;14.0000000;2.300
LVHK;D;20121207;000000;14.0000000;14.0400000;14.0000000;14.0400000;1.000
LVHK;D;20121210;000000;14.0500000;15.4000000;14.0500000;14.5700000;34.500
LVHK;D;20121211;000000;14.6000000;14.6000000;14.5700000;14.5700000;400
LVHK;D;20121212;000000;14.6500000;14.6800000;14.5700000;14.6800000;5.500
LVHK;D;20121213;000000;14.7000000;14.7000000;14.6500000;14.6500000;4.600
LVHK;D;20121214;000000;14.9000000;14.9000000;14.2000000;14.5000000;27.900
LVHK;D;20121217;000000;14.5000000;14.5000000;14.4600000;14.4600000;1.700
LVHK;D;20121218;000000;14.0500000;14.0800000;14.0500000;14.0500000;2.200
LVHK;D;20121220;000000;14.0600000;14.0600000;14.0600000;14.0600000;200
LVHK;D;20121224;000000;14.1000000;14.1000000;14.0700000;14.0700000;500
LVHK;D;20121227;000000;14.1500000;14.2000000;14.1500000;14.2000000;900
LVHK;D;20121228;000000;14.2000000;14.2900000;14.2000000;14.2900000;1.000
LVHK;D;20130108;000000;14.3000000;14.4000000;14.3000000;14.4000000;1.500
LVHK;D;20130110;000000;14.4000000;14.4000000;14.4000000;14.4000000;100
LVHK;D;20130111;000000;14.0000000;14.0000000;14.0000000;14.0000000;500
LVHK;D;20130115;000000;14.4000000;14.4000000;14.4000000;14.4000000;100
LVHK;D;20130116;000000;14.3500000;14.3500000;14.3500000;14.3500000;100
LVHK;D;20130118;000000;14.0200000;14.0500000;14.0200000;14.0200000;28.500
LVHK;D;20130121;000000;12.6660000;14.0200000;12.6660000;14.0200000;13.200
LVHK;D;20130122;000000;14.0200000;14.0200000;13.5000000;13.9360000;12.200
LVHK;D;20130124;000000;14.0400000;14.0400000;14.0400000;14.0400000;100
LVHK;D;20130125;000000;14.0690000;14.1500000;14.0690000;14.1500000;5.300
LVHK;D;20130129;000000;14.2500000;14.4050000;14.2500000;14.3660000;2.700
LVHK;D;20130130;000000;14.3390000;14.3660000;14.2500000;14.2500000;40.300
LVHK;D;20130201;000000;14.3070000;14.3070000;14.1410000;14.1680000;1.400
LVHK;D;20130204;000000;14.3000000;14.3200000;14.2490000;14.2490000;20.100
LVHK;D;20130205;000000;14.1840000;14.2290000;14.1840000;14.2000000;8.400
LVHK;D;20130206;000000;14.1000000;14.4300000;14.1000000;14.4200000;29.000
LVHK;D;20130207;000000;14.4100000;14.7190000;14.4100000;14.7190000;74.700
LVHK;D;20130208;000000;14.6010000;14.8830000;14.6010000;14.8830000;23.400
LVHK;D;20130211;000000;14.6010000;15.0300000;14.6010000;15.0300000;70.700
LVHK;D;20130212;000000;14.6010000;15.1040000;14.6010000;15.1000000;84.500
LVHK;D;20130213;000000;14.6010000;15.2090000;14.6010000;15.2090000;39.100
