<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MSNG;D;19990601;000000;0.6750000;0.6900000;0.6590000;0.6600000;2.013.200
MSNG;D;19990602;000000;0.6500000;0.6510000;0.6270000;0.6400000;3.177.100
MSNG;D;19990603;000000;0.6300000;0.6820000;0.6300000;0.6820000;1.286.500
MSNG;D;19990604;000000;0.6880000;0.6900000;0.6650000;0.6700000;2.741.600
MSNG;D;19990607;000000;0.6770000;0.7050000;0.6750000;0.6890000;1.869.100
MSNG;D;19990608;000000;0.7000000;0.7100000;0.6930000;0.7070000;1.915.700
MSNG;D;19990609;000000;0.7010000;0.7290000;0.7000000;0.7200000;3.601.000
MSNG;D;19990610;000000;0.7210000;0.7640000;0.7210000;0.7400000;6.705.300
MSNG;D;19990611;000000;0.7410000;0.8600000;0.7350000;0.8600000;10.533.800
MSNG;D;19990615;000000;0.9000000;0.9280000;0.8160000;0.8160000;3.746.800
MSNG;D;19990616;000000;0.8390000;0.9540000;0.8200000;0.9540000;6.659.800
MSNG;D;19990617;000000;0.9600000;0.9990000;0.9030000;0.9100000;6.318.500
MSNG;D;19990618;000000;0.9000000;0.9790000;0.8700000;0.9750000;5.713.900
MSNG;D;19990621;000000;1.0050000;1.1300000;0.9950000;1.1100000;10.645.600
MSNG;D;19990622;000000;1.1400000;1.1800000;1.0700000;1.1050000;11.375.900
MSNG;D;19990623;000000;1.1300000;1.1300000;1.0210000;1.0830000;6.057.500
MSNG;D;19990624;000000;1.0800000;1.1240000;1.0720000;1.0930000;4.162.600
MSNG;D;19990625;000000;1.0800000;1.1000000;1.0410000;1.0700000;3.466.400
MSNG;D;19990628;000000;1.0900000;1.0950000;1.0610000;1.0740000;1.573.100
MSNG;D;19990629;000000;1.0680000;1.0970000;1.0500000;1.0720000;4.475.500
MSNG;D;19990630;000000;1.0900000;1.1180000;1.0830000;1.0850000;13.394.000
MSNG;D;19990701;000000;1.1200000;1.1550000;1.1030000;1.1280000;7.137.700
MSNG;D;19990702;000000;1.1850000;1.1850000;1.1200000;1.1630000;3.584.700
MSNG;D;19990705;000000;1.1550000;1.2100000;1.1550000;1.1960000;3.259.000
MSNG;D;19990706;000000;1.2150000;1.2700000;1.2000000;1.2700000;5.456.600
MSNG;D;19990707;000000;1.2600000;1.2600000;1.1920000;1.2200000;4.454.900
MSNG;D;19990708;000000;1.1490000;1.2600000;1.1490000;1.2160000;3.460.100
MSNG;D;19990709;000000;1.2100000;1.2350000;1.2000000;1.2120000;1.130.900
MSNG;D;19990712;000000;1.2200000;1.2250000;1.1900000;1.1900000;3.743.600
MSNG;D;19990713;000000;1.1900000;1.1900000;1.1100000;1.1120000;4.927.900
MSNG;D;19990714;000000;1.1330000;1.2100000;1.1250000;1.2060000;3.408.000
MSNG;D;19990715;000000;1.2000000;1.2000000;1.1560000;1.1730000;3.063.700
MSNG;D;19990716;000000;1.1850000;1.1850000;1.1600000;1.1600000;2.070.600
MSNG;D;19990719;000000;1.1500000;1.1500000;1.0800000;1.1000000;4.250.100
MSNG;D;19990720;000000;1.0800000;1.0950000;1.0500000;1.0600000;2.100.500
MSNG;D;19990721;000000;1.0010000;1.0200000;0.9800000;0.9970000;4.137.500
MSNG;D;19990722;000000;1.0150000;1.0540000;0.9740000;0.9740000;7.436.100
MSNG;D;19990723;000000;0.9980000;1.0120000;0.9700000;1.0100000;5.152.200
MSNG;D;19990726;000000;1.0170000;1.0320000;0.9950000;1.0000000;1.643.600
