<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
QIWI;D;20131008;000000;1.290.0000000;1.340.0000000;1.265.2000000;1.340.0000000;630
QIWI;D;20131009;000000;1.200.1000000;1.400.0000000;1.200.0000000;1.350.0000000;127
QIWI;D;20131010;000000;1.273.0000000;1.330.0000000;1.200.7000000;1.310.0000000;49
QIWI;D;20131011;000000;1.300.0000000;1.304.8000000;1.300.0000000;1.304.8000000;2
QIWI;D;20131014;000000;1.265.0000000;1.310.0000000;1.265.0000000;1.310.0000000;4
QIWI;D;20131015;000000;1.336.9000000;1.370.0000000;1.336.9000000;1.350.0000000;75
QIWI;D;20131016;000000;1.270.0000000;1.304.4000000;1.270.0000000;1.304.4000000;51
QIWI;D;20131018;000000;1.350.0000000;1.350.0000000;1.350.0000000;1.350.0000000;1
QIWI;D;20131021;000000;1.365.0000000;1.365.0000000;1.363.5000000;1.363.5000000;2
QIWI;D;20131024;000000;1.363.5000000;1.372.0000000;1.363.5000000;1.372.0000000;38
QIWI;D;20131025;000000;1.374.0000000;1.920.0000000;1.374.0000000;1.920.0000000;7
QIWI;D;20131028;000000;1.900.0000000;1.900.0000000;1.350.0000000;1.450.0000000;420
QIWI;D;20131029;000000;1.450.0000000;1.450.0000000;1.450.0000000;1.450.0000000;3
QIWI;D;20131030;000000;1.234.2000000;1.600.0000000;1.234.2000000;1.499.6000000;1.150
QIWI;D;20131031;000000;1.500.0000000;1.500.0000000;1.341.7000000;1.400.0000000;1.057
QIWI;D;20131101;000000;1.468.5000000;1.498.0000000;1.353.0000000;1.384.4000000;1.206
QIWI;D;20131105;000000;1.471.5000000;1.471.5000000;1.357.9000000;1.450.0000000;1.009
QIWI;D;20131106;000000;1.470.0000000;1.500.0000000;1.422.8000000;1.500.0000000;1.423
QIWI;D;20131107;000000;1.465.0000000;1.470.0000000;1.433.0000000;1.455.9000000;1.207
QIWI;D;20131108;000000;1.454.5000000;1.499.8000000;1.354.0000000;1.489.9000000;1.033
QIWI;D;20131111;000000;1.495.0000000;1.495.0000000;1.405.2000000;1.435.0000000;1.259
QIWI;D;20131112;000000;1.460.9000000;1.460.9000000;1.409.8000000;1.414.1000000;1.200
QIWI;D;20131113;000000;1.315.0000000;1.381.0000000;1.315.0000000;1.367.7000000;1.494
QIWI;D;20131114;000000;1.349.0000000;1.375.0000000;1.349.0000000;1.375.0000000;64
QIWI;D;20131115;000000;1.377.0000000;1.377.0000000;1.370.0000000;1.377.0000000;208
QIWI;D;20131118;000000;1.340.0000000;1.395.4000000;1.340.0000000;1.351.0000000;1.011
QIWI;D;20131119;000000;1.300.0000000;1.400.0000000;1.300.0000000;1.400.0000000;1.045
QIWI;D;20131120;000000;1.400.0000000;1.550.0000000;1.400.0000000;1.550.0000000;1.113
QIWI;D;20131121;000000;1.500.0000000;1.551.0000000;1.500.0000000;1.550.0000000;1.088
QIWI;D;20131122;000000;1.551.0000000;1.551.0000000;1.500.0000000;1.500.0000000;1.125
QIWI;D;20131125;000000;1.510.0000000;1.530.0000000;1.505.0000000;1.505.0000000;1.053
QIWI;D;20131126;000000;1.510.0000000;1.525.0000000;1.510.0000000;1.525.0000000;1.021
QIWI;D;20131127;000000;1.500.0000000;1.676.7000000;1.500.0000000;1.581.0000000;1.011
QIWI;D;20131128;000000;1.799.7000000;1.900.0000000;1.602.0000000;1.670.0000000;1.159
QIWI;D;20131129;000000;1.699.0000000;1.790.0000000;1.651.0000000;1.790.0000000;1.063
QIWI;D;20131202;000000;1.611.0000000;2.100.0000000;1.550.0000000;1.800.0000000;2.015
QIWI;D;20131203;000000;1.900.0000000;2.330.0000000;1.700.0000000;2.000.0000000;1.763
QIWI;D;20131204;000000;1.900.0000000;1.900.0000000;1.655.0000000;1.799.0000000;1.402
QIWI;D;20131205;000000;1.700.0000000;1.850.0000000;1.600.0000000;1.649.9000000;339
QIWI;D;20131206;000000;1.600.0000000;1.699.9000000;1.581.0000000;1.698.0000000;1.057
QIWI;D;20131209;000000;1.600.0000000;1.848.0000000;1.600.0000000;1.634.0000000;1.090
QIWI;D;20131210;000000;1.635.0000000;1.897.9000000;1.635.0000000;1.695.0000000;1.153
QIWI;D;20131211;000000;1.750.0000000;1.807.0000000;1.710.0000000;1.710.0000000;1.501
QIWI;D;20131212;000000;1.738.0000000;1.740.0000000;1.738.0000000;1.738.0000000;1.023
QIWI;D;20131213;000000;1.740.0000000;1.740.0000000;1.640.0000000;1.640.0000000;1.065
QIWI;D;20131216;000000;1.602.0000000;1.770.0000000;1.602.0000000;1.750.0000000;1.640
QIWI;D;20131217;000000;1.750.0000000;1.765.0000000;1.645.0000000;1.738.6000000;1.036
QIWI;D;20131218;000000;1.735.0000000;1.752.0000000;1.700.0000000;1.752.0000000;1.366
QIWI;D;20131219;000000;1.700.0000000;1.785.0000000;1.700.0000000;1.702.0000000;1.110
QIWI;D;20131220;000000;1.780.0000000;1.780.0000000;1.651.0000000;1.690.0000000;1.037
QIWI;D;20131223;000000;1.701.0000000;1.756.2000000;1.701.0000000;1.750.0000000;1.055
QIWI;D;20131224;000000;1.661.0000000;1.750.0000000;1.661.0000000;1.749.9000000;1.371
QIWI;D;20131225;000000;1.775.0000000;1.775.0000000;1.690.1000000;1.690.1000000;1.042
QIWI;D;20131226;000000;1.729.0000000;1.750.0000000;1.716.0000000;1.748.0000000;111
QIWI;D;20131227;000000;1.749.0000000;1.790.0000000;1.749.0000000;1.790.0000000;1.212
QIWI;D;20131230;000000;1.800.0000000;1.800.0000000;1.785.0000000;1.785.0000000;1.020
QIWI;D;20140106;000000;1.800.0000000;1.999.0000000;1.791.5000000;1.796.0000000;1.103
QIWI;D;20140108;000000;1.800.0000000;1.998.9000000;1.750.0000000;1.998.9000000;1.189
QIWI;D;20140109;000000;1.997.0000000;1.998.0000000;1.801.8000000;1.903.2000000;1.208
QIWI;D;20140110;000000;1.840.0000000;1.989.9000000;1.837.0000000;1.950.0000000;1.300
QIWI;D;20140113;000000;1.871.0000000;1.900.0000000;1.730.1000000;1.799.8000000;2.069
QIWI;D;20140114;000000;1.774.8000000;1.774.8000000;1.613.4000000;1.750.0000000;1.736
QIWI;D;20140115;000000;1.815.9000000;1.820.1000000;1.627.2000000;1.630.0000000;2.537
QIWI;D;20140116;000000;1.630.0000000;1.630.0000000;1.511.3000000;1.600.0000000;3.003
QIWI;D;20140117;000000;1.628.9000000;1.629.0000000;1.530.2000000;1.570.0000000;1.578
QIWI;D;20140120;000000;1.501.0000000;1.551.0000000;1.405.0000000;1.450.0000000;2.182
QIWI;D;20140121;000000;1.470.0000000;1.475.0000000;1.406.3000000;1.425.0000000;2.371
QIWI;D;20140122;000000;1.425.0000000;1.484.0000000;1.359.8000000;1.420.1000000;2.720
QIWI;D;20140123;000000;1.467.6000000;1.467.6000000;1.421.7000000;1.424.0000000;1.295
QIWI;D;20140124;000000;1.350.0000000;1.410.0000000;1.330.1000000;1.350.0000000;2.430
QIWI;D;20140127;000000;1.350.0000000;1.350.0000000;1.286.9000000;1.294.4000000;1.540
QIWI;D;20140128;000000;1.300.1000000;1.300.2000000;1.233.3000000;1.276.3000000;2.452
QIWI;D;20140129;000000;1.280.0000000;1.388.7000000;1.270.0000000;1.290.6000000;2.407
QIWI;D;20140130;000000;1.260.0000000;1.310.0000000;1.260.0000000;1.265.0000000;1.508
QIWI;D;20140131;000000;1.270.0000000;1.270.0000000;1.235.3000000;1.269.9000000;1.486
QIWI;D;20140203;000000;1.240.1000000;1.320.0000000;1.240.0000000;1.300.0000000;1.601
QIWI;D;20140204;000000;1.233.5000000;1.270.0000000;1.215.2000000;1.223.0000000;848
QIWI;D;20140205;000000;1.210.0000000;1.210.0000000;1.141.0000000;1.195.0000000;1.022
QIWI;D;20140206;000000;1.225.1000000;1.284.6000000;1.225.1000000;1.270.0000000;738
QIWI;D;20140207;000000;1.320.6000000;1.375.0000000;1.302.0000000;1.368.0000000;1.204
QIWI;D;20140210;000000;1.352.9000000;1.380.0000000;1.345.0000000;1.380.0000000;209
QIWI;D;20140211;000000;1.345.1000000;1.398.4000000;1.201.2000000;1.355.4000000;1.243
QIWI;D;20140212;000000;1.355.0000000;1.355.0000000;1.335.0000000;1.355.0000000;483
QIWI;D;20140213;000000;1.379.9000000;1.379.9000000;1.343.2000000;1.374.9000000;45
QIWI;D;20140214;000000;1.380.0000000;1.380.0000000;1.320.0000000;1.360.0000000;49
QIWI;D;20140217;000000;1.390.0000000;1.390.0000000;1.331.0000000;1.350.0000000;108
QIWI;D;20140218;000000;1.378.9000000;1.447.7000000;1.301.0000000;1.430.0000000;1.450
QIWI;D;20140219;000000;1.410.0000000;1.455.0000000;1.376.1000000;1.455.0000000;2.536
QIWI;D;20140220;000000;1.448.9000000;1.479.1000000;1.425.1000000;1.454.9000000;332
QIWI;D;20140221;000000;1.450.0000000;1.498.9000000;1.450.0000000;1.450.0000000;200
QIWI;D;20140224;000000;1.478.6000000;1.498.9000000;1.435.2000000;1.439.0000000;164
QIWI;D;20140225;000000;1.489.9000000;1.489.9000000;1.401.2000000;1.470.4000000;253
QIWI;D;20140226;000000;1.479.9000000;1.550.0000000;1.475.0000000;1.530.0000000;1.676
QIWI;D;20140227;000000;1.575.0000000;1.666.4000000;1.520.0000000;1.629.0000000;937
QIWI;D;20140228;000000;1.701.0000000;1.880.0000000;1.672.1000000;1.730.0000000;1.587
QIWI;D;20140303;000000;1.620.0000000;1.729.9000000;1.301.0000000;1.516.0000000;1.107
QIWI;D;20140304;000000;1.499.9000000;1.594.9000000;1.400.1000000;1.530.0000000;1.010
QIWI;D;20140305;000000;1.519.8000000;1.520.0000000;1.452.0000000;1.489.9000000;430
QIWI;D;20140306;000000;1.440.4000000;1.526.7000000;1.416.0000000;1.470.0000000;259
QIWI;D;20140307;000000;1.450.0000000;1.515.5000000;1.355.5000000;1.455.0000000;260
QIWI;D;20140311;000000;1.366.1000000;1.486.7000000;1.355.0000000;1.460.9000000;273
QIWI;D;20140312;000000;1.389.9000000;1.488.6000000;1.350.0000000;1.388.0000000;966
QIWI;D;20140313;000000;1.389.0000000;1.389.0000000;1.150.0000000;1.250.0000000;421
QIWI;D;20140314;000000;1.185.3000000;1.248.9000000;1.104.2000000;1.140.0000000;875
QIWI;D;20140317;000000;1.220.0000000;1.330.0000000;1.219.8000000;1.309.9000000;2.146
QIWI;D;20140318;000000;1.275.0000000;1.370.0000000;1.250.0000000;1.310.1000000;408
QIWI;D;20140319;000000;1.311.5000000;1.389.0000000;1.311.1000000;1.313.1000000;96
QIWI;D;20140320;000000;1.320.0000000;1.330.0000000;1.315.0000000;1.319.7000000;15
QIWI;D;20140321;000000;1.275.1000000;1.300.0000000;1.275.0000000;1.280.0000000;220
QIWI;D;20140324;000000;1.300.0000000;1.388.8000000;1.261.4000000;1.276.9000000;69
QIWI;D;20140325;000000;1.299.9000000;1.375.5000000;1.188.1000000;1.217.9000000;1.150
QIWI;D;20140326;000000;1.242.4000000;1.268.8000000;1.228.1000000;1.259.7000000;412
QIWI;D;20140327;000000;1.250.0000000;1.260.0000000;1.149.8000000;1.151.3000000;1.045
QIWI;D;20140328;000000;1.149.8000000;1.198.0000000;1.111.7000000;1.141.7000000;1.439
QIWI;D;20140331;000000;1.149.0000000;1.212.1000000;1.149.0000000;1.210.0000000;773
QIWI;D;20140401;000000;1.234.0000000;1.303.9000000;1.212.0000000;1.303.9000000;2.045
QIWI;D;20140402;000000;1.304.0000000;1.380.0000000;1.279.0000000;1.307.6000000;372
QIWI;D;20140403;000000;1.370.0000000;1.370.0000000;1.240.4000000;1.275.2000000;417
QIWI;D;20140404;000000;1.312.9000000;1.350.0000000;1.260.0000000;1.275.0000000;504
QIWI;D;20140407;000000;1.333.2000000;1.349.8000000;1.149.1000000;1.180.1000000;1.614
QIWI;D;20140408;000000;1.259.5000000;1.259.5000000;1.140.0000000;1.158.0000000;1.300
QIWI;D;20140409;000000;1.150.1000000;1.181.0000000;1.111.3000000;1.128.5000000;1.506
QIWI;D;20140410;000000;1.133.1000000;1.170.0000000;1.133.1000000;1.155.8000000;391
QIWI;D;20140411;000000;1.161.5000000;1.218.9000000;1.149.9000000;1.175.0000000;1.388
QIWI;D;20140414;000000;1.045.9000000;1.149.0000000;1.030.0000000;1.121.0000000;746
QIWI;D;20140415;000000;1.149.9000000;1.174.5000000;1.101.0000000;1.147.9000000;76
QIWI;D;20140416;000000;1.169.0000000;1.169.0000000;1.120.0000000;1.158.6000000;49
QIWI;D;20140417;000000;1.168.7000000;1.168.7000000;1.125.8000000;1.163.8000000;20
QIWI;D;20140418;000000;1.170.2000000;1.196.9000000;1.170.0000000;1.181.0000000;622
QIWI;D;20140421;000000;1.198.9000000;1.198.9000000;1.176.0000000;1.195.0000000;604
QIWI;D;20140422;000000;1.200.0000000;1.208.0000000;1.150.0000000;1.172.9000000;57
QIWI;D;20140423;000000;1.140.0000000;1.171.9000000;1.140.0000000;1.169.9000000;412
QIWI;D;20140424;000000;1.190.0000000;1.190.0000000;1.031.0000000;1.040.0000000;1.156
QIWI;D;20140425;000000;1.123.9000000;1.123.9000000;1.020.0000000;1.020.0000000;446
