<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RAVN;D;20181003;000000;34.0000000;34.4100000;34.0000000;34.4100000;300
RAVN;D;20181004;000000;35.0000000;35.1250000;34.9850000;35.1250000;5.400
RAVN;D;20181005;000000;34.8450000;34.8450000;34.8450000;34.8450000;400
RAVN;D;20181008;000000;35.2450000;35.2450000;35.2450000;35.2450000;1.000
RAVN;D;20181009;000000;35.6300000;36.1950000;35.6300000;35.7950000;1.200
RAVN;D;20181011;000000;36.1100000;36.9350000;36.1100000;36.9350000;15.500
RAVN;D;20181012;000000;37.6700000;37.6700000;36.0000000;36.0000000;1.100
RAVN;D;20181015;000000;36.3900000;36.6500000;36.3900000;36.6500000;200
RAVN;D;20181016;000000;36.9800000;36.9800000;36.9800000;36.9800000;1.500
RAVN;D;20181017;000000;36.8250000;36.8250000;36.2700000;36.7400000;14.400
RAVN;D;20181018;000000;37.5200000;38.2300000;37.5200000;37.7400000;700
RAVN;D;20181019;000000;38.4450000;39.4350000;38.3650000;39.4350000;13.600
RAVN;D;20181022;000000;38.6350000;38.6350000;37.6900000;37.6900000;3.100
RAVN;D;20181023;000000;38.6150000;39.0750000;38.6150000;38.7650000;900
RAVN;D;20181024;000000;38.7400000;38.7400000;38.7400000;38.7400000;100
RAVN;D;20181025;000000;37.9700000;38.4800000;37.9700000;38.4800000;1.400
RAVN;D;20181026;000000;37.5850000;37.5850000;37.5850000;37.5850000;1.500
RAVN;D;20181029;000000;38.8700000;38.8700000;38.8700000;38.8700000;100
RAVN;D;20181030;000000;37.7000000;38.2950000;37.7000000;38.2950000;13.400
RAVN;D;20181031;000000;38.7200000;38.7200000;38.7200000;38.7200000;3.800
RAVN;D;20181106;000000;38.0900000;38.0900000;38.0900000;38.0900000;200
RAVN;D;20181112;000000;38.8700000;39.2800000;38.8700000;39.2800000;400
RAVN;D;20181113;000000;39.0000000;39.0000000;39.0000000;39.0000000;4.600
RAVN;D;20181114;000000;39.6800000;39.6800000;38.2650000;38.2650000;800
RAVN;D;20181120;000000;37.6200000;37.6200000;37.5300000;37.5300000;4.800
RAVN;D;20181126;000000;37.8300000;37.8300000;37.8300000;37.8300000;600
RAVN;D;20181129;000000;37.8300000;37.8300000;37.8300000;37.8300000;100
