<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
UNAC;D;20100203;000000;0.9330000;0.9450000;0.8500000;0.9000000;1.244.100
UNAC;D;20100204;000000;0.9500000;1.1000000;0.8500000;0.9100000;6.056.000
UNAC;D;20100205;000000;0.9200000;0.9530000;0.8120000;0.8850000;3.782.600
UNAC;D;20100208;000000;0.9200000;0.9200000;0.8200000;0.8200000;425.100
UNAC;D;20100209;000000;0.8250000;0.8900000;0.7650000;0.7800000;1.781.000
UNAC;D;20100210;000000;0.7960000;0.8080000;0.7450000;0.7950000;405.100
UNAC;D;20100211;000000;0.7950000;0.7950000;0.5670000;0.7640000;259.200
UNAC;D;20100212;000000;0.7670000;0.7680000;0.6320000;0.6900000;275.100
UNAC;D;20100215;000000;0.6890000;0.7150000;0.6800000;0.6900000;446.600
UNAC;D;20100216;000000;0.7000000;0.7010000;0.6560000;0.6920000;304.900
UNAC;D;20100217;000000;0.6890000;0.6890000;0.5800000;0.6080000;4.284.000
UNAC;D;20100218;000000;0.6090000;0.6120000;0.5560000;0.5880000;1.631.300
UNAC;D;20100219;000000;0.5750000;0.7020000;0.5500000;0.6290000;7.518.400
UNAC;D;20100224;000000;0.6240000;0.7350000;0.6150000;0.6850000;6.374.500
UNAC;D;20100225;000000;0.6770000;0.7000000;0.6420000;0.6700000;1.159.400
UNAC;D;20100226;000000;0.6630000;0.6750000;0.5700000;0.6350000;9.390.200
UNAC;D;20100227;000000;0.6310000;0.6600000;0.6020000;0.6230000;1.146.100
UNAC;D;20100301;000000;0.6290000;0.6450000;0.5900000;0.6180000;1.393.700
UNAC;D;20100302;000000;0.6290000;0.6350000;0.6020000;0.6110000;4.272.900
UNAC;D;20100303;000000;0.6100000;0.6160000;0.6020000;0.6160000;645.600
UNAC;D;20100304;000000;0.6150000;0.6250000;0.6020000;0.6150000;399.400
UNAC;D;20100305;000000;0.6190000;0.6190000;0.6030000;0.6180000;748.400
UNAC;D;20100309;000000;0.6190000;0.6220000;0.6030000;0.6220000;538.200
UNAC;D;20100310;000000;0.6200000;0.6230000;0.6080000;0.6200000;1.073.500
UNAC;D;20100311;000000;0.6150000;0.6400000;0.6150000;0.6330000;2.339.000
UNAC;D;20100312;000000;0.6330000;0.6430000;0.5970000;0.5990000;10.329.500
UNAC;D;20100315;000000;0.6030000;0.6350000;0.6000000;0.6040000;12.185.800
UNAC;D;20100316;000000;0.6050000;0.6150000;0.5970000;0.6020000;5.384.200
UNAC;D;20100317;000000;0.6030000;0.6140000;0.5900000;0.6090000;4.824.800
UNAC;D;20100318;000000;0.6050000;0.6110000;0.5950000;0.5980000;2.612.900
UNAC;D;20100319;000000;0.5600000;0.5800000;0.5470000;0.5530000;60.032.300
UNAC;D;20100322;000000;0.5510000;0.5650000;0.5320000;0.5390000;38.147.900
UNAC;D;20100323;000000;0.5430000;0.5450000;0.5140000;0.5200000;32.520.100
UNAC;D;20100324;000000;0.5230000;0.5490000;0.4950000;0.5250000;88.823.700
UNAC;D;20100325;000000;0.5230000;0.5380000;0.5180000;0.5270000;27.735.300
