<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;D;20140604;000000;1.546.7000000;1.546.8000000;1.163.0000000;1.170.0000000;35.146
YNDX;D;20140605;000000;1.175.0000000;1.195.0000000;1.141.1000000;1.145.1000000;24.973
YNDX;D;20140606;000000;1.158.3000000;1.173.5000000;1.151.0000000;1.163.0000000;7.889
YNDX;D;20140609;000000;1.178.9000000;1.185.6000000;1.155.7000000;1.172.1000000;7.304
YNDX;D;20140610;000000;1.172.1000000;1.181.0000000;1.160.1000000;1.170.0000000;3.207
YNDX;D;20140611;000000;1.175.0000000;1.183.0000000;1.157.1000000;1.179.9000000;8.837
YNDX;D;20140616;000000;1.164.0000000;1.181.2000000;1.150.0000000;1.165.0000000;13.904
YNDX;D;20140617;000000;1.166.9000000;1.187.7000000;1.166.9000000;1.185.5000000;8.517
YNDX;D;20140618;000000;1.180.1000000;1.185.0000000;1.176.0000000;1.182.9000000;1.455
YNDX;D;20140619;000000;1.176.0000000;1.182.7000000;1.165.0000000;1.168.0000000;1.396
YNDX;D;20140620;000000;1.165.2000000;1.179.0000000;1.160.0000000;1.175.0000000;2.702
YNDX;D;20140623;000000;1.185.0000000;1.218.8000000;1.185.0000000;1.196.0000000;14.081
YNDX;D;20140624;000000;1.200.0000000;1.208.9000000;1.191.0000000;1.191.8000000;3.895
YNDX;D;20140625;000000;1.185.0000000;1.195.0000000;1.153.1000000;1.176.8000000;3.949
YNDX;D;20140626;000000;1.185.0000000;1.188.5000000;1.168.9000000;1.185.0000000;2.392
YNDX;D;20140627;000000;1.172.1000000;1.197.0000000;1.165.0000000;1.185.0000000;1.148
YNDX;D;20140630;000000;1.189.9000000;1.218.1000000;1.184.1000000;1.218.0000000;8.749
YNDX;D;20140701;000000;1.212.5000000;1.239.8000000;1.212.5000000;1.218.2000000;3.036
YNDX;D;20140702;000000;1.218.0000000;1.220.0000000;1.195.0000000;1.200.0000000;33.473
YNDX;D;20140703;000000;1.188.9000000;1.213.8000000;1.184.0000000;1.192.0000000;25.562
YNDX;D;20140704;000000;1.184.9000000;1.204.9000000;1.183.0000000;1.186.0000000;2.133
YNDX;D;20140707;000000;1.200.0000000;1.211.8000000;1.152.0000000;1.160.0000000;19.359
YNDX;D;20140708;000000;1.165.0000000;1.180.0000000;1.100.0000000;1.113.4000000;26.565
YNDX;D;20140709;000000;1.100.0000000;1.111.0000000;1.073.8000000;1.094.0000000;19.416
YNDX;D;20140710;000000;1.100.0000000;1.125.7000000;1.061.5000000;1.077.8000000;11.216
YNDX;D;20140711;000000;1.072.2000000;1.101.5000000;1.056.0000000;1.099.3000000;35.563
YNDX;D;20140714;000000;1.095.1000000;1.123.5000000;1.090.2000000;1.118.9000000;6.192
YNDX;D;20140715;000000;1.123.3000000;1.127.5000000;1.110.0000000;1.114.3000000;2.789
YNDX;D;20140716;000000;1.114.2000000;1.115.5000000;1.098.1000000;1.106.5000000;7.340
YNDX;D;20140717;000000;1.098.0000000;1.107.5000000;1.067.6000000;1.088.0000000;7.221
YNDX;D;20140718;000000;1.080.4000000;1.081.4000000;1.054.1000000;1.072.3000000;7.144
YNDX;D;20140721;000000;1.080.0000000;1.081.4000000;1.035.0000000;1.047.5000000;8.353
YNDX;D;20140722;000000;1.050.4000000;1.060.0000000;1.043.9000000;1.060.0000000;10.468
YNDX;D;20140723;000000;1.061.4000000;1.062.0000000;1.047.4000000;1.056.2000000;5.286
YNDX;D;20140724;000000;1.056.2000000;1.093.4000000;1.048.3000000;1.077.8000000;5.186
YNDX;D;20140725;000000;1.077.8000000;1.109.4000000;1.070.1000000;1.075.1000000;5.127
YNDX;D;20140728;000000;1.060.2000000;1.075.0000000;1.050.1000000;1.055.0000000;3.992
YNDX;D;20140729;000000;1.055.1000000;1.147.6000000;1.055.1000000;1.116.0000000;11.794
YNDX;D;20140730;000000;1.112.3000000;1.129.8000000;1.106.0000000;1.120.0000000;3.075
YNDX;D;20140731;000000;1.129.9000000;1.129.9000000;1.081.1000000;1.087.7000000;4.886
YNDX;D;20140801;000000;1.096.9000000;1.096.9000000;1.060.0000000;1.062.2000000;6.621
YNDX;D;20140804;000000;1.073.2000000;1.101.9000000;1.072.7000000;1.089.5000000;7.073
YNDX;D;20140805;000000;1.101.3000000;1.110.9000000;1.076.1000000;1.094.6000000;528
YNDX;D;20140806;000000;1.076.1000000;1.076.1000000;1.043.0000000;1.060.1000000;3.329
YNDX;D;20140807;000000;1.041.1000000;1.055.0000000;1.041.1000000;1.054.5000000;3.528
YNDX;D;20140808;000000;1.055.4000000;1.055.4000000;1.033.5000000;1.033.5000000;7.617
YNDX;D;20140811;000000;1.040.0000000;1.071.9000000;1.040.0000000;1.053.0000000;13.759
YNDX;D;20140812;000000;1.050.0000000;1.070.0000000;1.027.9000000;1.052.1000000;15.203
YNDX;D;20140813;000000;1.050.0000000;1.067.0000000;1.045.1000000;1.054.6000000;2.194
YNDX;D;20140814;000000;1.047.5000000;1.065.4000000;1.040.0000000;1.053.1000000;3.752
